priority,player_id,name,team_code,team_name,position,current_overall,suggested_overall,issue,reason,data_needed,confidence
1,00-0019476,Reggie Austin,CHI,Chicago Bears,CB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0006016,Chris Gizzi,GB,Green Bay Packers,LB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019351,Dustin Cohen,LAR,St. Louis Rams,LB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0011634,Sean Moran,LAR,St. Louis Rams,EDGE,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0008202,Tyoka Jackson,LAR,St. Louis Rams,EDGE,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0020237,Willie Gary,LAR,St. Louis Rams,CB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012320,Eric Ogbogu,NYJ,New York Jets,EDGE,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0010175,Rick Lyle,NYJ,New York Jets,EDGE,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0020545,Riley Kleinhesselink,NYJ,New York Jets,EDGE,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019459,Darwin Walker,PHI,Philadelphia Eagles,DT,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0013535,Ike Reese,PHI,Philadelphia Eagles,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0002518,Mike Caldwell,PHI,Philadelphia Eagles,LB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0011502,Monty Montgomery,PHI,Philadelphia Eagles,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0007108,Tim Hauck,PHI,Philadelphia Eagles,CB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019538,Clark Haggans,PIT,Pittsburgh Steelers,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019630,Kendrick Clancy,PIT,Pittsburgh Steelers,DT,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019788,John Schlecht,SF,San Francisco 49ers,DT,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0020423,Menson Holloway,SF,San Francisco 49ers,DT,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019257,Mikki Allen,SF,San Francisco 49ers,CB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0020454,Rashad Holman,SF,San Francisco 49ers,CB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0004519,Tyronne Drakeford,SF,San Francisco 49ers,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0003888,Chartric Darby,TB,Tampa Bay Buccaneers,DT,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019572,David Gibson,TB,Tampa Bay Buccaneers,CB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0008755,Greg Jones,CHI,Chicago Bears,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0008939,Gana Joseph,GB,Green Bay Packers,CB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0006960,Johnnie Harris,LV,Oakland Raiders,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0009034,Andy Katzenmoyer,NE,New England Patriots,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0005155,Nick Ferguson,NYJ,New York Jets,CB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0005589,Gus Frerotte,DEN,Denver Broncos,QB,70,76,Starting-QB slot rated 70 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
2,00-0009212,Danny Kight,BAL,Baltimore Ravens,K,75,,K rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0007324,Jimmy Herndon,CHI,Chicago Bears,LT,77,,LT rated 77 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0004388,Kevin Dogins,CHI,Chicago Bears,C,77,,C rated 77 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0018115,Frank Winters,GB,Green Bay Packers,C,76,,C rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0006431,Damon Griffin,LAR,St. Louis Rams,WR,77,,Skill player rated 77 on low-confidence evidence,No box-score production on file to confirm a rating this high.,"Box-score stats or recorded starts, or a curated override for a known contributor.",low
2,00-0019666,John St. Clair,LAR,St. Louis Rams,LT,76,,LT rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0000472,Darryl Ashmore,LV,Oakland Raiders,LT,75,,LT rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0011192,Frank Middleton,LV,Oakland Raiders,LG,77,,LG rated 77 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0011899,Toby Myles,LV,Oakland Raiders,LT,78,,LT rated 78 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0019201,Andy Vincent,MIA,Miami Dolphins,LT,75,,LT rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0015491,T. Marcus Spriggs,MIA,Miami Dolphins,LT,77,,LT rated 77 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0019584,Adrian Klemm,NE,New England Patriots,LT,76,,LT rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0020386,Kenyatta Jones,NE,New England Patriots,LT,75,,LT rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0010222,J.P. Machado,NYJ,New York Jets,LG,78,,LG rated 78 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0018440,Ryan Young,NYJ,New York Jets,LT,76,,LT rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0020255,Chukky Okobi,PIT,Pittsburgh Steelers,C,75,,C rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0019954,Keydrick Vincent,PIT,Pittsburgh Steelers,LG,75,,LG rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0004586,Roger Duffy,PIT,Pittsburgh Steelers,LG,75,,LG rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0020290,Chad Ward,SF,San Francisco 49ers,LG,76,,LG rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0010232,Kendell Mack,TB,Tampa Bay Buccaneers,LT,76,,LT rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0020389,Russ Hochstein,TB,Tampa Bay Buccaneers,LG,75,,LG rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0019960,Shane Grice,TB,Tampa Bay Buccaneers,LG,77,,LG rated 77 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0002312,Keith Burns,DEN,Denver Broncos,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0019269,Ike Reid,IND,Indianapolis Colts,EDGE,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0019529,Josh Williams,IND,Indianapolis Colts,DT,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0000780,Lionel Barnes,IND,Indianapolis Colts,EDGE,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0012940,Ryan Phillips,IND,Indianapolis Colts,LB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0015986,Sam Sword,IND,Indianapolis Colts,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0019544,John Hilliard,SEA,Seattle Seahawks,EDGE,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0019052,John Baker,LAR,St. Louis Rams,P,78,,P rated 78 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
3,00-0006410,Chris Greisen,ARI,Arizona Cardinals,QB,71,,Starting-QB slot rated 71 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
3,00-0001907,Dave Brown,ARI,Arizona Cardinals,QB,70,,Starting-QB slot rated 70 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
3,00-0007576,Kelly Holcomb,CLE,Cleveland Browns,QB,74,,Starting-QB slot rated 74 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
3,00-0003315,Todd Collins,KC,Kansas City Chiefs,QB,74,,Starting-QB slot rated 74 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
3,00-0004161,Jake Delhomme,NO,New Orleans Saints,QB,71,,Starting-QB slot rated 71 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
3,00-0005794,Jason Garrett,NYG,New York Giants,QB,64,,Starting-QB slot rated 64 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
3,00-0020483,Jesse Palmer,NYG,New York Giants,QB,73,,Starting-QB slot rated 73 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
3,00-0006212,Kent Graham,WAS,Washington Redskins,QB,74,,Starting-QB slot rated 74 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
3,00-0020331,Brandon Winey,DEN,Denver Broncos,LT,76,,LT rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
3,00-0004257,David Diaz-Infante,DEN,Denver Broncos,LG,77,,LG rated 77 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
3,00-0005392,James Folston,ARI,Arizona Cardinals,LB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0014209,Johnny Rutledge,ARI,Arizona Cardinals,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0018563,Justin Lucas,ARI,Arizona Cardinals,S,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020025,LeVar Woods,ARI,Arizona Cardinals,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020301,Renaldo Hill,ARI,Arizona Cardinals,CB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0009360,Tom Knight,ARI,Arizona Cardinals,CB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0017668,Chuck Wiley,ATL,Atlanta Falcons,EDGE,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0003660,Henri Crockett,ATL,Atlanta Falcons,LB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0015957,Shawn Swayda,ATL,Atlanta Falcons,EDGE,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020458,Jimmy Robinson,BUF,Buffalo Bills,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0019362,Kenyatta Wright,BUF,Buffalo Bills,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020286,Ron Edwards,BUF,Buffalo Bills,DT,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0017619,Bernard Whittington,CIN,Cincinnati Bengals,EDGE,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0003794,Canute Curtis,CIN,Cincinnati Bengals,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020535,Justin Smith,CIN,Cincinnati Bengals,EDGE,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0005384,Steve Foley,CIN,Cincinnati Bengals,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0008811,Lenoy Jones,CLE,Cleveland Browns,LB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0015255,Mark Smith,CLE,Cleveland Browns,DT,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020538,Daleroy Stewart,DAL,Dallas Cowboys,DT,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0018575,Duane Hawthorne,DAL,Dallas Cowboys,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0018994,Jamal Brooks,DAL,Dallas Cowboys,LB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020408,Markus Steele,DAL,Dallas Cowboys,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0019959,Marq Cerqua,DAL,Dallas Cowboys,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0018489,Peppi Zellner,DAL,Dallas Cowboys,EDGE,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0020082,Chidi Iwuoma,DET,Detroit Lions,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0004242,Jared DeVries,DET,Detroit Lions,EDGE,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0019228,Jimmy Wyrick,DET,Detroit Lions,CB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
3,00-0015914,Kywin Supernaw,DET,Detroit Lions,CB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
